"phen" "total" "sign_disc" "sign_repl" "sign_disc_top" "sign_repl_top" "weak_instr"
"ukb-b-6415" 0 0 0 0 0 0
"ukb-b-11161" 0 0 0 0 0 0
"ukb-b-3646" 1 0 0 0 0 0
"ukb-b-11601" 12 15 14 2 3 -1
"ukb-b-4226" 36 135 164 15 12 3
"ukb-b-1645" 9 22 13 4 2 2
"ukb-b-18544" 0 0 0 0 0 0
"ukb-b-3044" 0 0 0 0 0 0
"ukb-b-15005" 0 0 0 0 0 0
"ukb-b-1830" 0 0 0 0 0 0
"ukb-b-11358" 9 13 2 2 1 1
"ukb-b-1392" 38 54 48 17 14 3
"ukb-b-6144" 1 0 0 0 0 0
"ukb-b-3083" 11 18 22 2 3 -1
"ukb-b-16989" 0 0 0 0 0 0
"ukb-b-14956" 0 0 0 0 0 0
"ukb-b-19064" 0 0 0 0 0 0
"ukb-b-9816" 0 0 0 0 0 0
"ukb-b-1733" 1 0 0 0 0 0
"ukb-b-4210" 1 0 0 0 0 0
"ukb-b-1814" 0 0 0 0 0 0
"ukb-b-4013" 0 0 0 0 0 0
"ukb-b-4465" 0 0 0 0 0 0
"ukb-b-7534" 0 0 0 0 0 0
"ukb-b-8549" 1 0 2 0 1 -1
"ukb-b-5209" 1 0 0 0 0 0
"ukb-b-14148" 0 0 0 0 0 0
"ukb-b-10787" 773 3559 3529 483 471 12
"ukb-b-5277" 1 0 0 0 0 0
"ukb-b-12483" 0 0 0 0 0 0
"ukb-b-18381" 2 0 1 0 0 0
"ukb-b-15718" 0 0 0 0 0 0
"ukb-b-872" 5 0 9 0 2 -2
"ukb-b-4693" 0 0 0 0 0 0
"ukb-b-13281" 1 0 0 0 0 0
"ukb-b-5716" 4 0 0 0 0 0
"ukb-b-10324" 0 0 0 0 0 0
"ukb-b-970" 38 48 34 5 7 -2
"ukb-b-6650" 1 0 0 0 0 0
"ukb-b-6217" 15 26 27 6 7 -1
"ukb-b-8687" 0 0 0 0 0 0
"ukb-b-12877" 0 0 0 0 0 0
"ukb-b-19045" 0 0 0 0 0 0
"ukb-b-5463" 222 528 508 95 91 4
"ukb-b-57" 0 0 0 0 0 0
"ukb-b-9050" 0 0 0 0 0 0
"ukb-b-11553" 0 0 0 0 0 0
"ukb-b-17456" 0 0 0 0 0 0
"ukb-b-12417" 8 1 4 1 2 -1
"ukb-b-14863" 1 0 0 0 0 0
"ukb-b-18572" 0 0 0 0 0 0
"ukb-b-2951" 2 0 0 0 0 0
"ukb-b-20038" 0 0 0 0 0 0
"ukb-b-4303" 1 5 6 0 0 0
"ukb-b-12122" 0 0 0 0 0 0
"ukb-b-16026" 0 0 0 0 0 0
"ukb-b-13248" 9 13 18 3 2 1
"ukb-b-7589" 1 0 0 0 0 0
"ukb-b-8810" 1 0 0 0 0 0
"ukb-b-6551" 0 0 0 0 0 0
"ukb-b-18007" 1 0 0 0 0 0
"ukb-b-15212" 1 0 0 0 0 0
"ukb-b-10217" 2 0 1 0 1 -1
"ukb-b-12217" 0 0 0 0 0 0
"ukb-b-10490" 0 0 0 0 0 0
"ukb-b-13803" 17 47 32 8 7 1
"ukb-b-9266" 0 0 0 0 0 0
"ukb-b-20155" 0 0 0 0 0 0
"ukb-b-4507" 0 0 0 0 0 0
"ukb-b-14461" 6 4 4 1 2 -1
"ukb-b-14238" 7 0 0 0 0 0
"ukb-b-17507" 1 0 0 0 0 0
"ukb-b-11906" 0 0 0 0 0 0
"ukb-b-7584" 10 16 17 2 2 0
"ukb-b-12654" 1 0 0 0 0 0
"ukb-b-10629" 8 1 11 1 2 -1
"ukb-b-16048" 6 27 21 3 3 0
"ukb-b-10831" 11 34 37 3 3 0
"ukb-b-11971" 3 4 0 1 0 1
"ukb-b-2399" 2 0 0 0 0 0
"ukb-b-5847" 0 0 0 0 0 0
"ukb-b-2375" 0 0 0 0 0 0
"ukb-b-4575" 23 55 63 10 10 0
"ukb-b-19266" 0 0 0 0 0 0
"ukb-b-16315" 0 0 0 0 0 0
"ukb-b-2415" 0 0 0 0 0 0
"ukb-b-4058" 0 0 0 0 0 0
